name,id,type,label,customerId,CustomerName
58BF25EA5044-002,3b56b160-3450-11ef-a6a7-c778c0110ed3,BRAVO,Kantknekker,6d31f850-3489-11ef-ad50-41358614ad63,Alta
8C4B140B9C78,3c314a80-870d-11eb-99b2-1749f3975254,IntelliGateLTE,CA3 Max,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
24D7EBBD5068-004,3c8eca10-fc65-11ec-8f93-ddff7dbc2bc8,PREMASGARD,Flow,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
58BF25E9A788-002,3d0c3220-3467-11ef-a6a7-c778c0110ed3,BRAVO,Waha sag,6d31f850-3489-11ef-ad50-41358614ad63,Alta
58BF25EA1554-010,3dfd8810-910e-11ef-bb66-09a77fdcecde,SEN5X,"",397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
58BF25E882B8,43249640-e86b-11ee-97a1-13eb5634dd40,IntelliGateLTE,,fde0af30-d9d7-11ed-abe5-9faf6fe668dc,Motala Hissar - R&D
EC62604C5C80-100,46f02db0-62a7-11ee-863a-01bce6d27c63,SEN5X,Oerlikon Particle Counter,0dd51000-c039-11ee-9aac-8b87a7da80ca,Oerlikon Balzter - Brügg CH
24D7EBBD5068,47c91b10-9978-11ec-bcd8-afb5f342d01b,IntelliGateLTE,1015,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
24D7EBBD5068-001,47cc9d80-9978-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,1015,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
24D7EBBD5068-003,47d1a690-9978-11ec-bcd8-afb5f342d01b,PREMASGARD,Systemtryck,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
58BF25E8AB44-001,498b46e0-962a-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,CA3 Retrofit,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EA1A70,4b3dabd0-e53e-11ee-97a1-13eb5634dd40,IntelliGateLTE,,fde0af30-d9d7-11ed-abe5-9faf6fe668dc,Motala Hissar - R&D
34945402415C-002,4b5e6cd0-3467-11ef-ad50-41358614ad63,BRAVO,Slissesag,6d31f850-3489-11ef-ad50-41358614ad63,Alta
58BF25E9756C,4bf523c0-f58b-11ee-b74a-9d551fd2f465,IntelliGateLTE,CARA DT,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
3CE90E117AE0-002,4c8b4b80-3450-11ef-a6a7-c778c0110ed3,BRAVO,Belegningssag,6d31f850-3489-11ef-ad50-41358614ad63,Alta
